model_id,model_family,feature_method,probe_type,probe_kind,pearson_r_entropy,pearson_p_entropy,spearman_r_entropy,spearman_p_entropy,pearson_r_pass_at_1,pearson_p_pass_at_1,spearman_r_pass_at_1,spearman_p_pass_at_1,n_samples
Qwen/Qwen2.5-Coder-3B-Instruct,qwen-coder-instruct,SLT,SLT+LinearRegression,regression,0.4878720677394902,0.005366705234167275,0.5730767035177201,0.0007525804540398477,0.05396818566024894,0.7730832981798094,-0.08607497393247031,0.6452240590536482,31
Qwen/Qwen2.5-Coder-3B-Instruct,qwen-coder-instruct,TBG,TBG+LinearRegression,regression,0.3246548223745224,0.0747586406841051,0.27333484871185687,0.1367972205330852,0.08002236953534328,0.6687066364319738,0.07530800950958867,0.6872136992213128,31
deepseek-ai/deepseek-coder-1.3b-instruct,deepseek,SLT,SLT+LinearRegression,regression,0.16107171882072227,0.38669426606495205,0.016532258064516133,0.9296613334661817,0.12618634206666568,0.498776768390995,0.02923526731023431,0.8759391562729988,31
deepseek-ai/deepseek-coder-1.3b-instruct,deepseek,TBG,TBG+LinearRegression,regression,0.19964705014042283,0.28157201176305735,0.23145161290322586,0.21027620819409898,0.31463087374927196,0.0847275115672567,0.3435143908952531,0.0584852211339353,31
meta-llama/Llama-3.2-3B-Instruct,llama,SLT,SLT+LinearRegression,regression,-0.006737579185532701,0.9713046811171403,0.026124407567530893,0.8890544461969077,-0.16162158140517452,0.3850536807125513,-0.19567272453270132,0.2914575788087972,31
meta-llama/Llama-3.2-3B-Instruct,llama,TBG,TBG+LinearRegression,regression,0.2789316619425934,0.12862496173888707,0.26001949407058095,0.15775326600463999,-0.36881584110373117,0.04118076151396324,-0.34786262139146906,0.05516186952377219,31
